Organisation,Type
QANTAS AIRWAYS LTD,Airline
GRAINCORP LTD,Beverage and Food
GOODMAN FIELDER LTD,Beverage and Food
COCA-COLA AMATIL LTD,Beverage and Food
LION NATHAN LTD,Beverage and Food
USANA AUST PTY LTD,Beverage and Food
MACQUARIE UNI,Education
THE UNI OF NSW,Education
AMP LTD,Financial Services
AMP LTD/AMP,Financial Services
WESTPAC BANKING CORP,Financial Services
VEDA ADVANTAGE LTD,Financial Services
ING AUST LTD,Financial Services
AMERICAN EXPRESS AUST LTD,Financial Services
CAPITAL FIN AUST LTD,Financial Services
CHALLENGER LTD/CGF,Financial Services
CWEALTH SECURITIES LTD,Financial Services
ESANDA FIN CORP LTD,Financial Services
TOYOTA FIN AUST LTD,Financial Services
AMP GROUP FIN SERVS LTD,Financial Services
CHALLENGER LTD,Financial Services
TAB LTD,Gaming
TABCORP HLDGS LTD & TABCORP HLDGS LTD,Gaming
ARISTOCRAT LEISURE LTD,Gaming
OFFICE OF REAL EST SERVICES,Government
CITY OF SYDNEY,Government
PARRAMATTA CITY CNCL,Government
FAIRFIELD CITY CNCL & WOLLONDILLY SHIRE CNCL,Government
BORAL LTD,Industrial 
RINKER GROUP PTY LTD,Industrial 
OFFSET ALPINE PRINTING GROUP PTY LTD,Industrial 
ONESTEEL LTD,Industrial 
CSR LTD,Industrial 
BRAMBLES INDUSTS LTD,Industrial 
CSR LIMITED,Industrial 
INTOLL GROUP,Industrial 
MBF AUST LTD,Insurance
INS AUST GROUP,Insurance
INS AUST GROUP LTD,Insurance
INS AUST GROUP LTD/IAG,Insurance
GIO GEN LTD,Insurance
THE HOSPITALS CONTRIBUTION FUND OF AUST LTD,Insurance
QBE INS (AUST) LTD,Insurance
SUNCORP,Insurance
NIB HEALTH FUNDS,Insurance
ALLIANZ INS AUST LTD,Insurance
CWEALTH INS LTD,Insurance
ING IND FUND,Insurance
ACE INS LTD,Insurance
CGU INSURANCE LTD,Insurance
ECORP LTD,IT
APN NEWS & MEDIA LTD,Media Company
CNSLD MEDIA HLDGS LTD,Media Company
TEN NETWORK HLDGS,Media Company
FAIRFAX MEDIA LTD,Media Company
ARRIUM LTD,Mining
AUN,Mining
GENWORTH FIN MORTGAGE INS PTY LTD,Mortgage Lending
GALILEE SOLICITORS,Mortgage Lending
QBE LENDERS MORTGAGE INSCE LTD,Mortgage Lending
NATIONAL LENDING SOLUTIONS,Mortgage Lending
CAMBRIDGE CREDIT CORP LTD,Property Management
MIRVAC REAL EST INVEST TRUST,Property Management
GENERAL PROPERTY TRUST,Property Management
LEND LEASE GROUP/LLC,Property Management
MIRVAC REAL EST INVEST TRUST (FORMERLY MERIDIAN),Property Management
LEND LEASE CORP LTD,Property Management
WESTFIELD GROUP,Property Management
WESTFIELD GROUP/WDC,Property Management
MIRVAC GROUP,Property Management
INVESTA PROPERTY GROUP,Property Management
STOCKLAND CORP LTD,Property Management
WOOLWORTHS LTD,Retailer
WOOLWORTHS LIMITED,Retailer
DAVID JONES LIMITED,Retailer
WOOLWORTHS LTD/WOW,Retailer
METCASH LTD,Retailer
AMP SUPER SAVINGS TRUST,SuperFund
AUST'N ELIGIBLE ROLLOVER FUND,SuperFund
SUPERTRACE ELIGIBLE ROLLOVER FUND,SuperFund
AMP ELIGIBLE ROLLOVER FUND,SuperFund
UNIVERSAL SUPER SCHEME FUND,SuperFund
STATE SUPER,SuperFund
BT FUNDS MGMT,SuperFund
CLUB PLUS SUPER PTY LTD,SuperFund
COLONIAL MUTUAL LIFE ASSUR LTD,SuperFund
AON ELIGIBLE ROLLOVER FUND,SuperFund
LEGAL & GEN SUPERTRACE,SuperFund
AUST PRIMARY SUPER FUND,SuperFund
SINGTEL OPTUS,Utility
ENERGY AUST (NCLE),Utility
AUSGRID,Utility
THE AUSTRALIAN GAS LIGHT COMPANY,Utility
AGL ENERGY LTD,Utility
ORIGIN ENERGY LTD,Utility
ENERGY AUST,Utility
COUNTRY ENERGY,Utility
INTEGRAL ENERGY,Utility
ORIGIN,Utility
JACK GREEN (INTNL) PTY LTD,Utility
